manufacturer_name,model_name,transmission,color,odometer_value,year_produced,engine_fuel,engine_has_gas,engine_type,engine_capacity,body_type,has_warranty,state,drivetrain,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,duration_listed,price_usd
Ford,Fusion,mechanical,blue,245000,2006,gasoline,FALSE,gasoline,1.6,hatchback,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,4250
Dodge,Caravan,automatic,silver,265542,2002,gasoline,FALSE,gasoline,3.3,minivan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,133,4000
Ford,Galaxy,mechanical,blue,168000,2009,diesel,FALSE,diesel,1.8,minivan,FALSE,owned,front,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,0,10900
Mazda,6,mechanical,other,225522,2008,gasoline,FALSE,gasoline,1.8,universal,FALSE,owned,front,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,20,6999
Audi,80,mechanical,black,370000,1991,gasoline,FALSE,gasoline,1.8,sedan,FALSE,owned,front,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,160,1600
Volkswagen,T5 Multivan,mechanical,black,287827,2004,diesel,FALSE,diesel,2.5,minivan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,43,11550
Opel,Astra,mechanical,blue,270000,1992,gasoline,FALSE,gasoline,1.4,hatchback,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,20,730
Ford,Sierra,mechanical,blue,290000,1988,gasoline,FALSE,gasoline,2,hatchback,FALSE,emergency,rear,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,378,200
Volvo,S40,automatic,other,205000,2004,gasoline,FALSE,gasoline,2.4,sedan,FALSE,owned,front,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,268,5690
Peugeot,Partner,mechanical,silver,350000,1999,diesel,FALSE,diesel,1.9,van,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,35,2700
Volkswagen,Golf,mechanical,blue,349000,1999,gasoline,FALSE,gasoline,1.6,hatchback,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,17,3900
Renault,Megane Scenic,mechanical,grey,1111,1998,diesel,FALSE,diesel,1.9,hatchback,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,1600
Honda,CR-V,automatic,other,400000,2005,gasoline,FALSE,gasoline,2.4,suv,FALSE,owned,all,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,67,7500
Ford,Escort,mechanical,red,330000,1991,gasoline,FALSE,gasoline,1.6,hatchback,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,77,400
Ford,Mondeo,automatic,black,105000,2008,diesel,FALSE,diesel,2,universal,FALSE,owned,front,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,32,8500
Volkswagen,Caddy,mechanical,white,300000,1998,diesel,FALSE,diesel,1.9,pickup,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,49,1500
Toyota,Yaris,mechanical,silver,250000,2002,diesel,FALSE,diesel,1.4,minivan,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,3300
Opel,Vectra,mechanical,blue,350000,1999,diesel,FALSE,diesel,2,universal,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,79,3000
Mercedes-Benz,CLA200,automatic,violet,120000,2013,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,front,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,81,19000
Mazda,626,mechanical,grey,342443,1995,gasoline,FALSE,gasoline,1.8,hatchback,FALSE,owned,front,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,116,600
Mercedes-Benz,S300,automatic,blue,585400,1996,diesel,FALSE,diesel,3,sedan,FALSE,owned,rear,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,34,5900
Ford,Escort,mechanical,red,365214,1997,gasoline,FALSE,gasoline,1.6,sedan,FALSE,owned,front,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,57,670
Mercedes-Benz,C200,mechanical,green,560000,1994,diesel,FALSE,diesel,2,sedan,FALSE,owned,rear,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,2900
Renault,Megane,mechanical,blue,30000,2005,diesel,FALSE,diesel,1.5,hatchback,FALSE,owned,front,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,95,3900
Volvo,V60,automatic,black,180000,2014,diesel,FALSE,diesel,1.6,universal,FALSE,owned,front,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,45,15999
Citroen,C5,automatic,grey,210000,2004,gasoline,FALSE,gasoline,2,hatchback,FALSE,owned,front,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,47,4800
Mazda,6,mechanical,grey,310000,2007,gasoline,FALSE,gasoline,2.3,hatchback,FALSE,owned,front,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,37,5000
Hyundai,Pony,mechanical,red,222222,1994,gasoline,FALSE,gasoline,1.5,sedan,FALSE,owned,front,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,350
